SupplierID,SupplierName,Focus,Phone,Email,Address,GSTIN,ContractStart,IsPreferred
11,Sri Traders #11,Coke Portfolio,7207529832,sritraders116221@demo.in,"28, Industrial Estate, Visakhapatnam",37WLGZM1011E70P,2022-07-31 00:00:00,FALSE
12,Prasad Distributors #12,Local Portfolio,8035650754,prasaddistributors122494@mail.com,"140, Wholesale Market, Visakhapatnam",37PZMIU2111DIML,2025-06-18 00:00:00,FALSE
13,Sai Distributors #13,Mixed,6712767154,saidistributors136848@mail.com,"83, Wholesale Market, Visakhapatnam",37UPDNO7801W9F2,2019-09-12 00:00:00,FALSE
14,Surya Traders #14,Mixed,6974864259,suryatraders144649@example.com,"40, Wholesale Market, Visakhapatnam",37XDJBP7507YDMW,2025-09-15 00:00:00,FALSE
15,Vinayaka Foods #15,Local Portfolio,8615346774,vinayakafoods15310@mail.com,"228, Wholesale Market, Visakhapatnam",37ZJZED7204S62Y,2019-10-24 00:00:00,FALSE
16,Suma Distributors #16,Mixed,8025486129,sumadistributors16528@mail.com,"108, Industrial Estate, Visakhapatnam",37SXUDR4582I50A,2019-03-21 00:00:00,FALSE
17,Sai Beverages #17,Pepsi Portfolio,6844716544,saibeverages173229@mail.com,"267, Industrial Estate, Visakhapatnam",37SJSXI3028MIWF,2022-07-05 00:00:00,FALSE
18,Harsha Wholesale #18,Mixed,9630754872,harshawholesale18108@demo.in,"269, Industrial Estate, Visakhapatnam",37IXFJD4346HGP5,2023-05-25 00:00:00,FALSE
19,Vinayaka Wholesale #19,Coke Portfolio,8845499287,vinayakawholesale19880@mail.com,"74, Wholesale Market, Visakhapatnam",37DFAJX4179FT54,2019-09-03 00:00:00,FALSE
20,Suma Traders #20,Coke Portfolio,7184981939,sumatraders204778@mail.com,"156, Industrial Estate, Visakhapatnam",37UFQKF9242XMJP,2025-03-16 00:00:00,FALSE
21,Vinayaka Enterprises #21,Coke Portfolio,9334511067,vinayakaenterprises219975@mail.com,"177, Wholesale Market, Visakhapatnam",37MIIUL0072IGOJ,2021-06-29 00:00:00,FALSE
22,Vinayaka Wholesale #22,Coke Portfolio,7064319413,vinayakawholesale222595@demo.in,"261, Wholesale Market, Visakhapatnam",37IRCCX4160CQ01,2025-05-09 00:00:00,FALSE
23,Annapurna Agencies #23,Pepsi Portfolio,9174918045,annapurnaagencies233047@example.com,"296, Auto Nagar, Visakhapatnam",37RUKCI0938M3QY,2024-08-03 00:00:00,FALSE
24,Prasad Enterprises #24,Pepsi Portfolio,9597043888,prasadenterprises24109@demo.in,"58, Industrial Estate, Visakhapatnam",37GDVJI1390PUY6,2025-10-17 00:00:00,FALSE
25,Surya Distributors #25,Coke Portfolio,6374612978,suryadistributors257015@demo.in,"234, Old Town, Visakhapatnam",37WLASY4014TPFO,2023-07-09 00:00:00,FALSE
26,Suma Agencies #26,Pepsi Portfolio,9173658736,sumaagencies262724@example.com,"243, Industrial Estate, Visakhapatnam",37SYWOI3220NZ7U,2022-04-09 00:00:00,FALSE
27,Surya Foods #27,Coke Portfolio,7720182606,suryafoods273126@demo.in,"182, Wholesale Market, Visakhapatnam",37NHUQN8656YP32,2021-05-22 00:00:00,FALSE
28,Kiran Enterprises #28,Pepsi Portfolio,8908116810,kiranenterprises281539@mail.com,"275, Industrial Estate, Visakhapatnam",37UIPUU3661V8T6,2023-04-28 00:00:00,FALSE
29,Om Wholesale #29,Coke Portfolio,7047931388,omwholesale292696@demo.in,"221, Industrial Estate, Visakhapatnam",37KXVMH7130ET47,2022-07-26 00:00:00,FALSE
30,Suma Beverages #30,Coke Portfolio,7196757059,sumabeverages30919@demo.in,"99, Industrial Estate, Visakhapatnam",37TQWGI5865XDJN,2022-01-04 00:00:00,FALSE
31,Balaji Agencies #31,Pepsi Portfolio,7541215020,balajiagencies314619@mail.com,"228, Industrial Estate, Visakhapatnam",37NKEIG4133RNYW,2025-02-22 00:00:00,FALSE
32,Om Wholesale #32,Pepsi Portfolio,9949909320,omwholesale32986@demo.in,"48, Old Town, Visakhapatnam",37HEMSX6127MMWO,2023-04-29 00:00:00,FALSE
33,Ravi Distributors #33,Coke Portfolio,7547141788,ravidistributors335291@mail.com,"155, Industrial Estate, Visakhapatnam",37XBPEG7367QKPE,2020-01-05 00:00:00,FALSE
34,Suma Distributors #34,Local Portfolio,8187725015,sumadistributors346141@demo.in,"125, Wholesale Market, Visakhapatnam",37GIRQZ0574D4T0,2024-12-19 00:00:00,FALSE
35,Teja Enterprises #35,Pepsi Portfolio,9366519451,tejaenterprises352530@demo.in,"260, Auto Nagar, Visakhapatnam",37BYHEW4578FQYM,2019-05-08 00:00:00,FALSE
36,Vijaya Beverages #36,Local Portfolio,8866032339,vijayabeverages364359@example.com,"138, Auto Nagar, Visakhapatnam",37FXYKL4339BV9J,2023-09-16 00:00:00,FALSE
37,Surya Traders #37,Pepsi Portfolio,6779665022,suryatraders378997@example.com,"214, Old Town, Visakhapatnam",37QJCLQ2989KHZY,2019-07-26 00:00:00,FALSE
38,Naveen Agencies #38,Pepsi Portfolio,9176395734,naveenagencies387165@mail.com,"166, Auto Nagar, Visakhapatnam",37DVRCF0487IJ8R,2024-11-18 00:00:00,FALSE
39,Rohit Wholesale #39,Mixed,6970966856,rohitwholesale399708@mail.com,"213, Industrial Estate, Visakhapatnam",37LUAMO5608SQN5,2020-02-28 00:00:00,FALSE
40,Rohit Agencies #40,Local Portfolio,6069875179,rohitagencies409726@demo.in,"261, Industrial Estate, Visakhapatnam",37GWVCG4729MRHD,2023-12-03 00:00:00,FALSE
41,Gandhi Enterprises #41,Local Portfolio,8589627794,gandhienterprises411777@example.com,"192, Auto Nagar, Visakhapatnam",37MGQAG5987EITS,2025-07-01 00:00:00,FALSE
42,Lakshmi Beverages #42,Mixed,7930319369,lakshmibeverages426280@example.com,"270, Industrial Estate, Visakhapatnam",37EGEDV0862JEPQ,2019-03-21 00:00:00,FALSE
43,Naveen Enterprises #43,Pepsi Portfolio,7215973933,naveenenterprises438764@demo.in,"180, Old Town, Visakhapatnam",37JVGQC2388CVKE,2025-09-09 00:00:00,FALSE
44,Sri Wholesale #44,Mixed,7698061551,sriwholesale446701@demo.in,"189, Wholesale Market, Visakhapatnam",37XXKKH6751CLQ9,2021-09-14 00:00:00,FALSE
45,Gandhi Wholesale #45,Pepsi Portfolio,6508600678,gandhiwholesale456724@example.com,"89, Old Town, Visakhapatnam",37ZXJEE3302PNCP,2019-08-21 00:00:00,FALSE
46,Vijaya Agencies #46,Local Portfolio,6391550771,vijayaagencies465264@example.com,"25, Wholesale Market, Visakhapatnam",37XRRGE8635UWNT,2020-03-21 00:00:00,FALSE
47,Anil Traders #47,Local Portfolio,7631027497,aniltraders475087@demo.in,"224, Old Town, Visakhapatnam",37LTHJO1484BE15,2021-04-22 00:00:00,FALSE
48,Gandhi Wholesale #48,Coke Portfolio,8248065258,gandhiwholesale483037@example.com,"185, Wholesale Market, Visakhapatnam",37IKFAR9692T03Y,2023-09-04 00:00:00,FALSE
49,Sri Distributors #49,Mixed,8304732277,sridistributors49658@example.com,"119, Old Town, Visakhapatnam",37TTHKQ3124SKM8,2021-10-29 00:00:00,FALSE
50,Krishna Traders #50,Pepsi Portfolio,8168225811,krishnatraders508968@demo.in,"137, Old Town, Visakhapatnam",37KGZRI2074E0AS,2023-06-04 00:00:00,FALSE
51,Lakshmi Foods #51,Pepsi Portfolio,8067513478,lakshmifoods515464@demo.in,"186, Industrial Estate, Visakhapatnam",37MTXLI1493GIS6,2023-04-17 00:00:00,FALSE
52,Shiva Enterprises #52,Local Portfolio,8246578925,shivaenterprises527346@example.com,"178, Auto Nagar, Visakhapatnam",37KPOYV0282NZZ9,2020-04-29 00:00:00,FALSE
53,Vijaya Traders #53,Pepsi Portfolio,6971388407,vijayatraders536442@example.com,"285, Industrial Estate, Visakhapatnam",37LYJRD1531WMHF,2025-10-14 00:00:00,FALSE
54,Vinayaka Beverages #54,Local Portfolio,8128313055,vinayakabeverages542822@mail.com,"201, Auto Nagar, Visakhapatnam",37AWUER7861Q4WY,2021-09-21 00:00:00,FALSE
55,Sri Foods #55,Pepsi Portfolio,9153516248,srifoods554796@mail.com,"161, Wholesale Market, Visakhapatnam",37ULLHP2760IITG,2022-04-15 00:00:00,FALSE
56,Surya Wholesale #56,Local Portfolio,6013296470,suryawholesale565374@example.com,"122, Auto Nagar, Visakhapatnam",37QEVUQ0723MRII,2023-08-01 00:00:00,FALSE
57,Shiva Agencies #57,Coke Portfolio,7503332649,shivaagencies571375@demo.in,"234, Wholesale Market, Visakhapatnam",37VNFCY9832QGPP,2019-02-08 00:00:00,FALSE
58,Ravi Agencies #58,Pepsi Portfolio,8786155042,raviagencies585091@mail.com,"296, Auto Nagar, Visakhapatnam",37CXUOQ8701G8JH,2020-03-19 00:00:00,FALSE
59,Teja Traders #59,Mixed,8415866188,tejatraders595806@demo.in,"211, Old Town, Visakhapatnam",37JZZAL8415BCTC,2024-11-14 00:00:00,FALSE
60,Suma Foods #60,Pepsi Portfolio,9574673208,sumafoods603104@demo.in,"20, Auto Nagar, Visakhapatnam",37EPREZ2958ZKAU,2023-07-06 00:00:00,FALSE
61,Rohit Distributors #61,Pepsi Portfolio,7480493769,rohitdistributors619985@example.com,"79, Industrial Estate, Visakhapatnam",37ROMLZ5665H1J9,2023-09-28 00:00:00,FALSE
62,Sri Agencies #62,Pepsi Portfolio,7628428311,sriagencies625528@example.com,"150, Auto Nagar, Visakhapatnam",37NWTYK8964OZHW,2022-02-05 00:00:00,FALSE
63,Vijaya Beverages #63,Local Portfolio,9120369151,vijayabeverages635255@mail.com,"39, Auto Nagar, Visakhapatnam",37DVQPE6073CKB1,2021-11-28 00:00:00,FALSE
64,Kiran Distributors #64,Mixed,8194170802,kirandistributors642585@example.com,"154, Wholesale Market, Visakhapatnam",37DLYYI0824AJEQ,2021-10-26 00:00:00,FALSE
65,Vinayaka Beverages #65,Mixed,6102669590,vinayakabeverages652451@mail.com,"269, Auto Nagar, Visakhapatnam",37VESLX3765O7VW,2020-08-13 00:00:00,FALSE
66,Ravi Agencies #66,Local Portfolio,8624551175,raviagencies667806@mail.com,"197, Industrial Estate, Visakhapatnam",37YOIID3702ZMSZ,2021-03-22 00:00:00,FALSE
67,Harsha Wholesale #67,Coke Portfolio,6713022140,harshawholesale675937@demo.in,"103, Old Town, Visakhapatnam",37TXGUY4903P4Z4,2020-12-07 00:00:00,FALSE
68,Kiran Foods #68,Local Portfolio,8822572796,kiranfoods685886@mail.com,"82, Auto Nagar, Visakhapatnam",37AGZUW3092LCLM,2023-08-27 00:00:00,FALSE
69,Rohit Agencies #69,Coke Portfolio,8529688808,rohitagencies694887@demo.in,"100, Wholesale Market, Visakhapatnam",37FNSKE6937F9P9,2024-10-10 00:00:00,FALSE
70,Ravi Traders #70,Mixed,7892639511,ravitraders707671@demo.in,"219, Old Town, Visakhapatnam",37CNAGA2754GEWW,2023-08-21 00:00:00,FALSE
71,Kiran Agencies #71,Mixed,7995096333,kiranagencies712737@mail.com,"81, Wholesale Market, Visakhapatnam",37PVAAF5705KG49,2019-09-28 00:00:00,FALSE
72,Sree Traders #72,Pepsi Portfolio,6189112697,sreetraders727849@demo.in,"122, Industrial Estate, Visakhapatnam",37TUXXG1155C2PJ,2020-07-11 00:00:00,FALSE
73,Vishnu Enterprises #73,Local Portfolio,9539423022,vishnuenterprises734209@example.com,"75, Old Town, Visakhapatnam",37ISXSV4781HRLR,2020-08-05 00:00:00,FALSE
74,Teja Distributors #74,Mixed,6927749516,tejadistributors746429@example.com,"73, Wholesale Market, Visakhapatnam",37PVHAR3991GH6D,2023-08-17 00:00:00,FALSE
75,Vijaya Distributors #75,Mixed,8534151502,vijayadistributors757913@demo.in,"223, Old Town, Visakhapatnam",37HLHGE3270MKSK,2021-05-03 00:00:00,FALSE
76,Balaji Foods #76,Local Portfolio,6122367005,balajifoods767013@demo.in,"28, Wholesale Market, Visakhapatnam",37WHOES3075QVHN,2021-05-24 00:00:00,FALSE
77,Gandhi Enterprises #77,Mixed,8685372334,gandhienterprises773739@example.com,"44, Old Town, Visakhapatnam",37VIVLT0782RTK6,2023-01-15 00:00:00,FALSE
78,Anil Enterprises #78,Mixed,6547808280,anilenterprises782473@example.com,"187, Industrial Estate, Visakhapatnam",37HGXKX2971C37K,2022-10-12 00:00:00,FALSE
79,Anusha Traders #79,Mixed,8970172980,anushatraders798073@example.com,"244, Industrial Estate, Visakhapatnam",37AIWBL4147LA0S,2021-04-15 00:00:00,FALSE
80,Vijaya Distributors #80,Local Portfolio,9420713802,vijayadistributors809632@example.com,"241, Wholesale Market, Visakhapatnam",37VWSIX0336AVHR,2024-12-09 00:00:00,FALSE
81,Lakshmi Traders #81,Mixed,9414036005,lakshmitraders816985@mail.com,"285, Old Town, Visakhapatnam",37HWDOO4445J7NA,2023-08-04 00:00:00,FALSE
82,Anusha Wholesale #82,Pepsi Portfolio,9510679936,anushawholesale828450@demo.in,"138, Wholesale Market, Visakhapatnam",37OMBJF9941RY6L,2019-04-11 00:00:00,FALSE
83,Venkateswara Enterprises #83,Pepsi Portfolio,6285543904,venkateswaraenterprises83652@demo.in,"34, Wholesale Market, Visakhapatnam",37JPTAZ7839F3W5,2024-03-10 00:00:00,FALSE
84,Prasad Foods #84,Mixed,9835981212,prasadfoods841180@example.com,"268, Old Town, Visakhapatnam",37ZZBZR2814QWBW,2025-06-10 00:00:00,FALSE
85,Surya Agencies #85,Mixed,9358399605,suryaagencies858492@example.com,"166, Old Town, Visakhapatnam",37NYURQ8581KL63,2020-12-11 00:00:00,FALSE
86,Ravi Traders #86,Coke Portfolio,8964180402,ravitraders862787@demo.in,"83, Industrial Estate, Visakhapatnam",37NPNMC9315E94V,2023-01-16 00:00:00,FALSE
87,Vishnu Beverages #87,Pepsi Portfolio,9207863789,vishnubeverages871096@example.com,"41, Auto Nagar, Visakhapatnam",37HTEFJ6118USBR,2020-02-01 00:00:00,FALSE
88,Anusha Enterprises #88,Pepsi Portfolio,9926359975,anushaenterprises887423@example.com,"149, Industrial Estate, Visakhapatnam",37ZDSRI9062NE8V,2021-03-14 00:00:00,FALSE
89,Annapurna Distributors #89,Pepsi Portfolio,7242552782,annapurnadistributors896238@demo.in,"107, Industrial Estate, Visakhapatnam",37FAESJ7851PUWA,2020-09-09 00:00:00,FALSE
90,Lakshmi Enterprises #90,Local Portfolio,8954703017,lakshmienterprises901564@example.com,"207, Industrial Estate, Visakhapatnam",37UOQQT5270VU2W,2025-02-12 00:00:00,FALSE
91,Sai Beverages #91,Pepsi Portfolio,7020251113,saibeverages913870@demo.in,"102, Industrial Estate, Visakhapatnam",37IGIUT7377SBAP,2021-12-29 00:00:00,FALSE
92,Sai Distributors #92,Local Portfolio,6971224267,saidistributors922400@mail.com,"162, Auto Nagar, Visakhapatnam",37JCEXE3704WJGI,2025-01-29 00:00:00,FALSE
93,Vijaya Foods #93,Coke Portfolio,9378403043,vijayafoods936063@demo.in,"36, Auto Nagar, Visakhapatnam",37LPYFB5809HXM8,2024-02-24 00:00:00,FALSE
94,Suma Enterprises #94,Mixed,6205387125,sumaenterprises947323@example.com,"168, Auto Nagar, Visakhapatnam",37FAULU0471T5ZS,2021-04-26 00:00:00,FALSE
95,Venkateswara Agencies #95,Coke Portfolio,7563900957,venkateswaraagencies951525@mail.com,"108, Auto Nagar, Visakhapatnam",37STDHO4453ASPO,2020-04-06 00:00:00,FALSE
96,Sree Enterprises #96,Coke Portfolio,7944593041,sreeenterprises968687@mail.com,"91, Auto Nagar, Visakhapatnam",37PULXS3399VWF4,2025-04-16 00:00:00,FALSE
97,Prasad Wholesale #97,Coke Portfolio,6148462404,prasadwholesale971510@example.com,"161, Old Town, Visakhapatnam",37HZGCJ9584O3YI,2020-06-19 00:00:00,FALSE
98,Vishnu Wholesale #98,Coke Portfolio,6353506232,vishnuwholesale983626@example.com,"31, Old Town, Visakhapatnam",37XGLBD4616FROD,2025-04-11 00:00:00,FALSE
99,Suma Agencies #99,Coke Portfolio,8358516592,sumaagencies995645@example.com,"93, Auto Nagar, Visakhapatnam",37SCIPZ3929HH2C,2024-12-13 00:00:00,FALSE
100,Annapurna Beverages #100,Coke Portfolio,7165213597,annapurnabeverages100946@demo.in,"160, Wholesale Market, Visakhapatnam",37XBTEK2451B9AA,2022-02-23 00:00:00,FALSE
101,Krishna Wholesale #101,Pepsi Portfolio,9911654084,krishnawholesale1019136@mail.com,"267, Old Town, Visakhapatnam",37QLZAN7606LQ88,2023-11-01 00:00:00,FALSE
102,Harsha Beverages #102,Local Portfolio,6851619326,harshabeverages1022750@example.com,"184, Wholesale Market, Visakhapatnam",37VHHFX9204ONOQ,2021-04-17 00:00:00,FALSE
103,Anil Distributors #103,Local Portfolio,7083740163,anildistributors103151@demo.in,"4, Industrial Estate, Visakhapatnam",37YVHNR0904ZWLG,2024-05-24 00:00:00,FALSE
104,Rohit Foods #104,Mixed,8712101339,rohitfoods1045918@mail.com,"171, Industrial Estate, Visakhapatnam",37RTMBD4758KUL7,2023-01-12 00:00:00,FALSE
105,Naveen Foods #105,Local Portfolio,9112563121,naveenfoods1055178@mail.com,"75, Auto Nagar, Visakhapatnam",37EEAUR8998LWVT,2024-11-20 00:00:00,FALSE
106,Kiran Foods #106,Mixed,9921310647,kiranfoods1064388@demo.in,"160, Industrial Estate, Visakhapatnam",37WIRSV9244C32U,2021-07-22 00:00:00,FALSE
107,Surya Traders #107,Local Portfolio,6349603320,suryatraders1079174@example.com,"165, Industrial Estate, Visakhapatnam",37QJKFY7660J3PW,2021-05-09 00:00:00,FALSE
108,Anusha Traders #108,Pepsi Portfolio,9320439513,anushatraders1089318@mail.com,"289, Auto Nagar, Visakhapatnam",37ARSNM5164JRUA,2020-05-04 00:00:00,FALSE
109,Anusha Distributors #109,Mixed,7879403029,anushadistributors1099927@demo.in,"272, Industrial Estate, Visakhapatnam",37WSZQS6315QH70,2022-08-15 00:00:00,FALSE
110,Vijaya Beverages #110,Local Portfolio,8377488246,vijayabeverages1104672@demo.in,"158, Old Town, Visakhapatnam",37TXWZB9557A4B7,2019-01-17 00:00:00,FALSE
111,Anusha Distributors #111,Pepsi Portfolio,8459978875,anushadistributors1118125@demo.in,"150, Old Town, Visakhapatnam",37QQKYD9496HUW2,2021-11-20 00:00:00,FALSE
112,Balaji Distributors #112,Coke Portfolio,8373816574,balajidistributors1127300@mail.com,"22, Wholesale Market, Visakhapatnam",37MKPOS5388XI2A,2023-06-10 00:00:00,FALSE
113,Balaji Traders #113,Coke Portfolio,6628126095,balajitraders1134466@example.com,"58, Auto Nagar, Visakhapatnam",37TWAWA3245VZ04,2024-06-07 00:00:00,FALSE
114,Lakshmi Distributors #114,Mixed,7450719940,lakshmidistributors1142824@example.com,"239, Wholesale Market, Visakhapatnam",37AZDAB1140ZVBT,2025-07-03 00:00:00,FALSE
115,Shiva Wholesale #115,Local Portfolio,7116509988,shivawholesale1151309@example.com,"253, Industrial Estate, Visakhapatnam",37SRRQG5877E5Y7,2019-03-10 00:00:00,FALSE
116,Vinayaka Distributors #116,Mixed,7429041444,vinayakadistributors1168342@demo.in,"1, Industrial Estate, Visakhapatnam",37GSSPB2179C7Q5,2024-10-13 00:00:00,FALSE
117,Sree Wholesale #117,Local Portfolio,6404600902,sreewholesale1174771@example.com,"172, Old Town, Visakhapatnam",37NADQN0889U5ZA,2020-10-26 00:00:00,FALSE
118,Annapurna Wholesale #118,Pepsi Portfolio,7297463741,annapurnawholesale1183381@mail.com,"128, Auto Nagar, Visakhapatnam",37ZDAFJ5877GRF6,2019-02-22 00:00:00,FALSE
119,Om Agencies #119,Pepsi Portfolio,9495721163,omagencies1199257@example.com,"22, Auto Nagar, Visakhapatnam",37GJVEK3610RR5C,2024-08-02 00:00:00,FALSE
120,Teja Distributors #120,Coke Portfolio,9008734013,tejadistributors1203758@example.com,"56, Industrial Estate, Visakhapatnam",37YJZBR1483BQX6,2020-06-19 00:00:00,FALSE
121,Sri Foods #121,Pepsi Portfolio,9711194054,srifoods1217827@example.com,"233, Auto Nagar, Visakhapatnam",37FNUSQ5967IC2Z,2025-02-03 00:00:00,FALSE
122,Balaji Wholesale #122,Coke Portfolio,9532766714,balajiwholesale1223807@demo.in,"187, Wholesale Market, Visakhapatnam",37WIWOL6330T2RU,2023-05-03 00:00:00,FALSE
123,Anusha Enterprises #123,Local Portfolio,7473321856,anushaenterprises1232785@mail.com,"92, Old Town, Visakhapatnam",37MJRSA1221QFAU,2023-12-19 00:00:00,FALSE
124,Harsha Agencies #124,Pepsi Portfolio,6615602870,harshaagencies1245577@example.com,"144, Auto Nagar, Visakhapatnam",37LEGRM9812P2P8,2022-07-05 00:00:00,FALSE
125,Vishnu Wholesale #125,Mixed,6707395252,vishnuwholesale1252207@example.com,"141, Old Town, Visakhapatnam",37CZLTS5640S705,2019-06-27 00:00:00,FALSE
126,Vishnu Traders #126,Mixed,7146660355,vishnutraders1265022@example.com,"116, Auto Nagar, Visakhapatnam",37OMLUT8486QMFY,2019-10-08 00:00:00,FALSE
127,Om Distributors #127,Coke Portfolio,9592657902,omdistributors1279123@mail.com,"171, Old Town, Visakhapatnam",37SHCCM6416XNP1,2025-07-11 00:00:00,FALSE
128,Vijaya Traders #128,Pepsi Portfolio,6465497404,vijayatraders1285308@demo.in,"104, Wholesale Market, Visakhapatnam",37GWPPP4414PL9Z,2023-03-13 00:00:00,FALSE
129,Vijaya Traders #129,Pepsi Portfolio,7344998756,vijayatraders1294570@demo.in,"250, Auto Nagar, Visakhapatnam",37WKGHC2426YMDV,2022-11-08 00:00:00,FALSE
130,Gandhi Distributors #130,Coke Portfolio,9942363859,gandhidistributors1301702@mail.com,"138, Old Town, Visakhapatnam",37AXZZR6051RT1L,2025-07-15 00:00:00,FALSE
131,Annapurna Distributors #131,Coke Portfolio,9838667793,annapurnadistributors1313149@example.com,"192, Industrial Estate, Visakhapatnam",37SGPKX6463KAKM,2022-02-23 00:00:00,FALSE
132,Anil Agencies #132,Pepsi Portfolio,7286555817,anilagencies1321071@demo.in,"200, Wholesale Market, Visakhapatnam",37NUOKC6872ZH8B,2023-02-11 00:00:00,FALSE
133,Anil Agencies #133,Local Portfolio,8729126298,anilagencies1333982@demo.in,"141, Industrial Estate, Visakhapatnam",37PGXWF4924GYYO,2019-06-14 00:00:00,FALSE
134,Vijaya Foods #134,Mixed,7127912435,vijayafoods1343852@mail.com,"22, Old Town, Visakhapatnam",37LMGYO1728YLUB,2025-07-17 00:00:00,FALSE
135,Ravi Enterprises #135,Mixed,8267627166,ravienterprises1355023@demo.in,"150, Old Town, Visakhapatnam",37GBYAX8953PZI6,2022-05-15 00:00:00,FALSE
136,Krishna Distributors #136,Pepsi Portfolio,9243773408,krishnadistributors1369755@demo.in,"52, Industrial Estate, Visakhapatnam",37MEKOY5518WWTL,2020-12-21 00:00:00,FALSE
137,Balaji Wholesale #137,Pepsi Portfolio,9184860099,balajiwholesale1379029@mail.com,"85, Old Town, Visakhapatnam",37RJWZH0155RYKE,2020-04-26 00:00:00,FALSE
138,Vishnu Enterprises #138,Coke Portfolio,8927028981,vishnuenterprises1386024@example.com,"215, Auto Nagar, Visakhapatnam",37XZBQB3786YPHH,2023-08-12 00:00:00,FALSE
139,Ravi Wholesale #139,Coke Portfolio,9558074122,raviwholesale1396971@mail.com,"200, Auto Nagar, Visakhapatnam",37WBMRV8394O9JG,2025-07-07 00:00:00,FALSE
140,Sree Foods #140,Mixed,8351798302,sreefoods1403788@example.com,"149, Wholesale Market, Visakhapatnam",37RXMRA8848VXMJ,2024-08-09 00:00:00,FALSE
141,Krishna Agencies #141,Pepsi Portfolio,6630342217,krishnaagencies1418399@mail.com,"146, Wholesale Market, Visakhapatnam",37QUKRD9422XDK9,2021-06-16 00:00:00,FALSE
142,Harsha Foods #142,Coke Portfolio,8239410660,harshafoods1423777@example.com,"284, Auto Nagar, Visakhapatnam",37UJLNY7689S4JC,2024-03-24 00:00:00,FALSE
143,Sri Beverages #143,Coke Portfolio,7384544094,sribeverages143146@example.com,"249, Wholesale Market, Visakhapatnam",37GFKHU2878R7NY,2019-06-26 00:00:00,FALSE
144,Venkateswara Wholesale #144,Mixed,6455215240,venkateswarawholesale1441237@demo.in,"282, Auto Nagar, Visakhapatnam",37YRYCF8246NA2L,2025-08-01 00:00:00,FALSE
145,Vishnu Enterprises #145,Mixed,8567381177,vishnuenterprises1459763@mail.com,"284, Industrial Estate, Visakhapatnam",37VAEHL2642L1HY,2019-08-16 00:00:00,FALSE
146,Vishnu Foods #146,Mixed,8916730848,vishnufoods1463132@demo.in,"171, Wholesale Market, Visakhapatnam",37ZREUX8133ASTC,2020-09-18 00:00:00,FALSE
147,Sai Wholesale #147,Local Portfolio,6546954083,saiwholesale1474954@mail.com,"275, Old Town, Visakhapatnam",37IZDGJ5172A48T,2023-11-22 00:00:00,FALSE
148,Surya Foods #148,Mixed,8151292600,suryafoods1489449@example.com,"82, Industrial Estate, Visakhapatnam",37QWHSO5878PBT0,2021-05-25 00:00:00,FALSE
149,Krishna Agencies #149,Coke Portfolio,7092999571,krishnaagencies1493974@demo.in,"276, Auto Nagar, Visakhapatnam",37OEDQF3084LLR1,2023-04-12 00:00:00,FALSE
150,Harsha Enterprises #150,Coke Portfolio,7259563849,harshaenterprises1507325@demo.in,"77, Wholesale Market, Visakhapatnam",37BPQGB9880QG4V,2019-06-18 00:00:00,FALSE
151,Teja Foods #151,Coke Portfolio,8004547553,tejafoods1513731@example.com,"70, Old Town, Visakhapatnam",37LPMXO1607JTGY,2019-08-21 00:00:00,FALSE
152,Naveen Foods #152,Coke Portfolio,9557479871,naveenfoods1524920@demo.in,"145, Old Town, Visakhapatnam",37ONJIG2605V7U2,2021-06-24 00:00:00,FALSE
